,BCL6,CBFB,CEBPB,CEBPD,EGR2,ELK1,ETS1,FLI1,FOS,FOSB,HOXA10,HOXA13,IRF8,JUN,KLF10,KLF13,LMO2,MAFB,MYB,MYEF2,NFATC1,NFATC2,NFE2L1,NFYA,NFYC,PPARD,PPARG,PRDM1,RREB1,RUNX1,RXRB,SMAD3,SMAD4,SNAI1,SNAI3,SP3,SPI1,SPIB,STAT1,TCF3,TCFL5,TFPT,TRIM28,UHRF1,VDR
48-112,20.3394492,8.8756834,8.9341803,10.2305109,25.7344685,9.0657907,10.3005585,11.5542396,12.068859,4.0539405,4.0539405,4.0539405,4.0539405,15.6024031,20.4234797,15.2036391,15.7900343,34.3382779,4.0539405,4.0539405,8.7712556,8.7298117,11.7083249,16.0066229,19.8806559,20.7392065,30.6359942,15.6295846,13.2493636,16.1378207,13.4508466,9.7245984,8.8748844,11.1083574,15.280956,12.2485466,19.6161209,4.0539405,11.338347,10.4477738,4.0539405,9.368358,12.1194328,4.0539405,8.344626
48-113,25.0721171,9.1609425,8.8460465,9.397651,16.5412239,7.9393536,12.3075064,13.1105328,12.241366,3.6483714,10.4751068,8.7997889,9.620007,15.6210553,18.4523794,12.803742,26.6660116,17.6983618,7.1274724,11.0608621,9.0659502,10.9916659,9.520902,17.2955382,18.0615731,17.350048,18.6088151,8.9048371,13.6884281,16.4857463,12.907264,10.4535181,10.5344326,8.6002565,19.4290487,12.753788,20.67585,3.6483714,12.9162498,12.3817781,7.8188801,10.3319327,13.1246034,13.1915103,8.3410514
48-114,24.824705,9.3907405,13.837686,8.9656562,28.4115666,12.1040407,11.1459655,11.9484576,17.0984964,11.6108427,9.9155015,3.8273361,3.8273361,17.2436348,21.9433779,10.2547732,16.4673533,26.8423516,7.503713,3.8273361,8.0316054,12.5919848,10.1776206,17.670825,16.6287412,16.1977848,25.1687563,13.5276336,14.7305704,10.2302044,11.9448883,9.7498337,9.6365823,14.2809554,11.3190954,14.6551955,22.7410236,8.2822952,12.8512499,10.3657972,8.9933314,10.3775572,12.4469065,10.5576847,3.8273361
48-115,14.9195409,10.2221958,13.0015045,9.3999239,14.8519416,4.3374213,4.3374213,11.9409018,14.7915353,4.3374213,4.3374213,4.3374213,4.3374213,12.1906739,14.4081058,18.7308462,18.0013444,19.9562908,4.3374213,11.7649065,4.3374213,11.8636799,10.8780024,16.856983,15.7135813,14.8083275,13.4156225,16.0538889,18.6014107,11.6629127,4.3374213,4.3374213,7.4591776,4.3374213,14.6048929,11.6295902,18.891626,4.3374213,11.6364563,15.2848392,9.2048621,12.0551921,10.7603311,11.1137369,8.888306
48-116,24.6681785,10.2595389,8.3700154,10.2202631,14.2451437,3.9391289,10.3867729,12.4405571,19.4415148,9.429045,8.6647263,9.0949117,3.9391289,16.8042667,20.0370228,13.7447984,26.4181079,26.776194,7.4408959,3.9391289,7.2575507,13.7403643,10.2661342,17.8318591,19.7388143,16.2803575,22.8805384,12.3061639,15.0886556,13.8700319,11.8231294,11.7953312,9.2333147,15.0609821,13.490923,14.4341131,23.8390415,6.2451584,12.2951376,10.3543784,8.8956325,12.1195136,12.3688228,3.9391289,7.2151138
48-117,15.0356367,3.8519049,19.2414772,11.4101555,18.0747766,10.2232787,10.116642,10.5179417,19.3443893,3.8519049,13.6953228,3.8519049,3.8519049,17.3284584,16.0273863,17.1721214,21.5937701,23.6849521,6.2001751,3.8519049,3.8519049,11.3997324,10.0682975,16.9106551,14.9698011,15.3071911,23.2518672,16.1304968,11.6231325,11.8829626,12.2084536,10.1801692,7.8276403,10.496181,19.657848,14.8643382,21.0115386,3.8519049,11.1451129,8.6166318,3.8519049,9.0132669,11.0188745,3.8519049,8.9084512
48-118,18.1110373,4.3989411,12.7590191,13.2167068,13.5186832,4.3989411,4.3989411,12.3013876,13.9336381,4.3989411,13.3313237,4.3989411,10.6426896,19.642077,16.2498421,13.6701125,19.9759227,23.2777199,7.2788783,13.6257894,4.3989411,15.9902333,11.8639454,21.7008617,16.0131722,14.1472794,12.1566408,12.1987675,12.8458235,12.0591427,14.9831836,4.3989411,10.6186237,14.2561001,18.1144035,11.8587129,21.2915527,4.3989411,9.0389631,11.7651724,9.9004695,10.0393047,10.2206389,4.3989411,4.3989411
48-119,17.6364796,8.2044231,15.7608302,14.3085306,18.0419034,3.8206838,3.8206838,12.2294689,14.9006086,3.8206838,16.7715586,11.575253,12.9503832,14.9632657,9.2823006,16.8744965,20.9115124,14.6613979,12.7635503,3.8206838,6.8608204,8.1993981,11.9358743,13.2444466,17.7798731,16.638864,11.1507948,14.8464567,18.5755437,16.3846055,12.6695719,10.7421933,12.3555911,11.2349041,10.1480253,16.9555172,18.6132087,6.9258735,11.8792487,3.8206838,3.8206838,11.2502768,13.4368467,9.9854996,8.3885864
48-120,27.8489018,9.6015212,9.4924325,10.3031837,13.5719201,3.8440044,13.3486831,13.0366569,23.692584,3.8440044,3.8440044,3.8440044,8.9859238,17.7816212,17.6684454,15.4856259,21.2812203,23.8148257,7.0617602,9.4234257,9.1891678,10.7488487,10.8761329,15.8367914,18.4074849,18.1022585,29.3660768,14.3710017,13.4463228,17.8006415,15.4945765,11.0760146,11.3366504,15.5955468,12.6899317,15.7139608,16.5638192,9.2919436,11.3313844,12.0134434,3.8440044,10.7679033,15.4480907,11.0261089,8.8464835
72-1,21.621227,6.876092,10.5264759,7.9434036,17.1794544,3.8060309,10.8945096,11.6827737,11.221458,3.8060309,3.8060309,3.8060309,3.8060309,12.6732651,17.5565786,9.8716,15.4464209,24.0812123,3.8060309,8.7718073,7.0292875,9.6549636,10.1309269,14.5059983,12.2504435,14.5348166,18.5342687,15.1863144,12.4748045,8.1690203,14.2825234,3.8060309,7.7818835,3.8060309,7.8237577,9.2580797,13.9608628,3.8060309,11.5436261,11.1653283,6.9044528,9.5536991,12.420667,3.8060309,3.8060309
