,time
Jan-75,1h
Jan-76,1h
Jan-77,1h
Jan-78,1h
Jan-79,1h
Jan-80,1h
Jan-81,1h
Jan-82,1h
Jan-83,1h
Jan-84,1h
Jan-85,1h
Jan-86,1h
Jan-87,1h
Jan-88,1h
Jan-89,1h
Jan-90,1h
Jan-91,1h
Jan-92,1h
Jan-93,1h
Jan-94,1h
Jan-95,1h
Jan-96,1h
Jan-97,1h
Jan-98,1h
Jan-99,1h
1-100,1h
1-101,1h
1-102,1h
1-103,1h
1-104,1h
1-105,1h
1-106,1h
1-107,1h
1-108,1h
1-109,1h
1-110,1h
1-111,1h
1-112,1h
1-113,1h
1-114,1h
1-115,1h
1-116,1h
1-117,1h
1-118,1h
1-119,1h
1-120,1h
1-Jun,6h
2-Jun,6h
3-Jun,6h
4-Jun,6h
5-Jun,6h
6-Jun,6h
7-Jun,6h
8-Jun,6h
9-Jun,6h
10-Jun,6h
11-Jun,6h
12-Jun,6h
13-Jun,6h
14-Jun,6h
15-Jun,6h
16-Jun,6h
17-Jun,6h
18-Jun,6h
19-Jun,6h
20-Jun,6h
21-Jun,6h
22-Jun,6h
23-Jun,6h
24-Jun,6h
25-Jun,6h
26-Jun,6h
27-Jun,6h
28-Jun,6h
29-Jun,6h
30-Jun,6h
Jun-31,6h
Jun-32,6h
Jun-33,6h
Jun-34,6h
Jun-35,6h
Jun-36,6h
Jun-37,6h
Jun-38,6h
Jun-39,6h
Jun-40,6h
Jun-41,6h
Jun-42,6h
Jun-43,6h
Jun-44,6h
Jun-45,6h
Jun-46,6h
Jun-47,6h
Jun-48,6h
Jun-49,6h
Jun-50,6h
Jun-51,6h
Jun-52,6h
Jun-53,6h
Jun-54,6h
Jun-55,6h
Jun-56,6h
Jun-57,6h
Jun-58,6h
Jun-59,6h
Jun-60,6h
Jun-61,6h
Jun-62,6h
Jun-63,6h
Jun-64,6h
Jun-65,6h
Jun-66,6h
Jun-67,6h
Jun-68,6h
Jun-69,6h
Jun-70,6h
Jun-71,6h
Jun-72,6h
Jun-73,6h
Jun-74,6h
Jun-75,6h
Jun-76,6h
Jun-77,6h
Jun-78,6h
Jun-79,6h
Jun-80,6h
Jun-81,6h
Jun-82,6h
Jun-83,6h
Jun-84,6h
Jun-85,6h
Jun-86,6h
Jun-87,6h
Jun-88,6h
Jun-89,6h
Jun-90,6h
Jun-91,6h
Jun-92,6h
Jun-93,6h
Jun-94,6h
Jun-95,6h
Jun-96,6h
Jun-97,6h
Jun-98,6h
Jun-99,6h
6-100,6h
6-101,6h
6-102,6h
6-103,6h
6-104,6h
6-105,6h
6-106,6h
6-107,6h
6-108,6h
6-109,6h
6-110,6h
6-111,6h
6-112,6h
6-113,6h
6-114,6h
6-115,6h
6-116,6h
6-117,6h
6-118,6h
6-119,6h
6-120,6h
1-Dec,12h
2-Dec,12h
3-Dec,12h
4-Dec,12h
5-Dec,12h
6-Dec,12h
7-Dec,12h
8-Dec,12h
9-Dec,12h
10-Dec,12h
11-Dec,12h
12-Dec,12h
13-Dec,12h
14-Dec,12h
15-Dec,12h
16-Dec,12h
17-Dec,12h
18-Dec,12h
19-Dec,12h
20-Dec,12h
21-Dec,12h
22-Dec,12h
23-Dec,12h
24-Dec,12h
25-Dec,12h
26-Dec,12h
27-Dec,12h
28-Dec,12h
29-Dec,12h
30-Dec,12h
31-Dec,12h
Dec-32,12h
Dec-33,12h
Dec-34,12h
Dec-35,12h
Dec-36,12h
Dec-37,12h
Dec-38,12h
Dec-39,12h
Dec-40,12h
Dec-41,12h
Dec-42,12h
Dec-43,12h
Dec-44,12h
Dec-45,12h
Dec-46,12h
Dec-47,12h
Dec-48,12h
Dec-49,12h
Dec-50,12h
Dec-51,12h
Dec-52,12h
Dec-53,12h
Dec-54,12h
Dec-55,12h
Dec-56,12h
Dec-57,12h
Dec-58,12h
Dec-59,12h
Dec-60,12h
Dec-61,12h
Dec-62,12h
Dec-63,12h
Dec-64,12h
Dec-65,12h
Dec-66,12h
Dec-67,12h
Dec-68,12h
Dec-69,12h
Dec-70,12h
Dec-71,12h
Dec-72,12h
Dec-73,12h
Dec-74,12h
Dec-75,12h
Dec-76,12h
Dec-77,12h
Dec-78,12h
Dec-79,12h
Dec-80,12h
Dec-81,12h
Dec-82,12h
Dec-83,12h
Dec-84,12h
Dec-85,12h
Dec-86,12h
Dec-87,12h
Dec-88,12h
Dec-89,12h
Dec-90,12h
Dec-91,12h
Dec-92,12h
Dec-93,12h
Dec-94,12h
Dec-95,12h
Dec-96,12h
Dec-97,12h
Dec-98,12h
Dec-99,12h
12-100,12h
12-101,12h
12-102,12h
12-103,12h
12-104,12h
12-105,12h
12-106,12h
12-107,12h
12-108,12h
12-109,12h
12-110,12h
12-111,12h
12-112,12h
12-113,12h
12-114,12h
12-115,12h
12-116,12h
12-117,12h
12-118,12h
12-119,12h
12-120,12h
24-1,24h
24-2,24h
24-3,24h
24-4,24h
24-5,24h
24-6,24h
24-7,24h
24-8,24h
24-9,24h
24-10,24h
24-11,24h
24-12,24h
24-13,24h
24-14,24h
24-15,24h
24-16,24h
24-17,24h
24-18,24h
24-19,24h
24-20,24h
24-21,24h
24-22,24h
24-23,24h
24-24,24h
24-25,24h
24-26,24h
24-27,24h
24-28,24h
24-29,24h
24-30,24h
24-31,24h
24-32,24h
24-33,24h
24-34,24h
24-35,24h
24-36,24h
24-37,24h
24-38,24h
24-39,24h
24-40,24h
24-41,24h
24-42,24h
24-43,24h
24-44,24h
24-45,24h
24-46,24h
24-47,24h
24-48,24h
24-49,24h
24-50,24h
24-51,24h
24-52,24h
24-53,24h
24-54,24h
24-55,24h
24-56,24h
24-57,24h
24-58,24h
24-59,24h
24-60,24h
24-61,24h
24-62,24h
24-63,24h
24-64,24h
24-65,24h
24-66,24h
24-67,24h
24-68,24h
24-69,24h
24-70,24h
24-71,24h
24-72,24h
24-73,24h
24-74,24h
24-75,24h
24-76,24h
24-77,24h
24-78,24h
24-79,24h
24-80,24h
24-81,24h
24-82,24h
24-83,24h
24-84,24h
24-85,24h
24-86,24h
24-87,24h
24-88,24h
24-89,24h
24-90,24h
24-91,24h
24-92,24h
24-93,24h
24-94,24h
24-95,24h
24-96,24h
24-97,24h
24-98,24h
24-99,24h
24-100,24h
24-101,24h
24-102,24h
24-103,24h
24-104,24h
24-105,24h
24-106,24h
24-107,24h
24-108,24h
24-109,24h
24-110,24h
24-111,24h
24-112,24h
24-113,24h
24-114,24h
24-115,24h
24-116,24h
24-117,24h
24-118,24h
24-119,24h
24-120,24h
48-1,48h
48-2,48h
48-3,48h
48-4,48h
48-5,48h
48-6,48h
48-7,48h
48-8,48h
48-9,48h
48-10,48h
48-11,48h
48-12,48h
48-13,48h
48-14,48h
