,Etv5,Slc7a7,Col18a1,Upp1,Nanog,Htra1,Tdgf1,Klf4,Sox2,Bbs2,Cds1,Sgce,1190005I06Rik,Sparc,Sdc4,1700019D03Rik,Acot9,Ifitm2,Klf5,Aldh7a1,Esrrb,Dnmt3a,Tfb1m,Spry4,Nptx2,Fgf4,Akap12,Pigl,Sqle,Basp1,Cidea,Klf2,Tspan17,Cdca7,Dnmt3b,Fgfbp1,Ifitm3,Otx2,Tcf7,Asrgl1,Cth,Tcl1,F2rl1,Cldn4,Rbm14,Fpgs,Klf9,Mycn,Rtel1,Slc2a3,Msrb2,Stat3,Ifitm1,Pim2,Schip1,Tdh,Nodal,Fgf15,Ddit4,Morc1,Socs3,Rest,Phc1,Hexa,Galk1,Rcor2,Car13,Pim1,Bad,Klf6,Nr5a2,Fxyd6,Id3,Stoml1,Slc7a3,Egfl6,Spry2,Zfp64,Sall4,Rab12,Thumpd3,Gbx2,Pou5f1,Nes,Lefty2,Zfp7,Pla2g10,Trp53,Zap70,Gldc,Kcnk1,Stra8,Myc,Cdc42ep4,Nefl,B3gnt7
cell_42,1,0,1,0,0,1,2,0,5,1,9,1,0,0,2,0,0,0,1,0,2,3,0,0,0,0,6,0,0,0,0,3,14,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,3,0,1,1,0,0,1,6,1,0,0,1,2,0,3,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,3,0,0,1,3,0,0,0,0,0,1,0,0,1,2,1,1,0
cell_43,1,1,5,4,8,4,4,4,3,0,0,1,1,5,1,0,0,2,2,0,8,1,1,0,0,3,5,1,0,6,1,10,0,2,2,2,1,0,0,2,0,1,2,0,1,2,1,3,1,11,3,3,3,0,2,12,1,2,1,3,2,0,3,3,0,3,1,1,5,1,0,0,2,0,3,1,2,0,6,2,0,0,13,0,0,0,1,3,0,4,0,0,5,1,0,3
cell_44,2,0,1,0,4,4,5,4,4,2,0,1,0,3,0,0,0,2,3,2,4,1,0,0,0,0,0,0,0,1,0,4,0,0,0,1,3,0,0,0,1,0,2,2,2,0,1,0,0,3,0,0,6,1,0,11,0,0,1,1,1,0,5,1,0,0,0,0,0,1,0,3,0,0,0,0,1,2,5,0,0,1,18,1,0,1,0,0,1,1,1,1,1,1,1,2
cell_45,8,2,6,4,3,1,14,2,14,2,0,1,0,4,2,1,3,1,4,2,6,1,2,0,3,2,4,1,1,1,1,5,0,2,4,1,0,0,0,0,1,1,2,1,1,4,2,3,1,4,1,0,4,1,2,16,2,0,0,2,1,2,7,0,2,3,2,2,2,4,1,0,1,3,3,0,1,3,3,2,2,1,30,2,1,1,3,3,1,0,0,0,0,2,1,2
cell_46,4,0,2,3,3,3,6,5,12,2,1,1,0,4,3,0,1,2,1,1,2,2,0,1,1,2,2,2,2,3,0,6,0,6,3,1,0,0,3,0,2,1,1,0,3,2,1,0,1,2,1,4,0,1,1,22,0,1,1,1,1,1,4,2,1,0,0,1,1,4,4,2,0,2,1,0,0,0,3,1,0,0,17,2,2,2,1,1,0,0,1,2,1,1,0,3
cell_47,5,2,2,2,2,3,7,2,5,1,0,0,0,2,2,0,0,3,6,2,0,3,1,1,1,1,7,3,3,1,0,4,1,0,5,2,0,1,1,0,1,2,2,0,0,5,3,0,5,12,0,1,1,3,1,21,3,0,1,1,3,1,3,0,0,0,0,1,0,3,1,1,1,3,1,1,0,3,4,1,0,1,12,0,1,3,1,2,0,1,0,1,2,0,1,4
cell_48,3,4,0,0,5,1,6,3,5,1,3,2,1,4,9,1,2,1,14,1,9,5,0,2,0,1,2,0,2,1,0,3,2,2,7,2,0,0,1,0,2,0,1,0,1,1,2,2,0,13,0,6,0,2,2,19,3,1,1,3,3,2,7,1,3,2,1,2,0,1,1,1,0,1,0,2,1,0,3,0,0,3,26,1,3,0,1,2,0,2,0,2,4,2,2,2
cell_49,5,2,3,1,2,0,11,5,8,0,3,0,0,2,1,0,1,1,3,2,2,5,0,0,2,0,3,0,0,1,0,5,1,2,1,1,0,2,1,2,0,4,3,1,0,3,0,2,4,10,0,0,0,1,0,16,0,1,0,0,0,0,7,0,1,1,2,2,2,2,1,0,1,2,1,0,2,2,3,1,2,4,13,0,0,0,5,3,0,4,0,1,1,0,0,7
cell_50,4,1,2,3,17,2,15,12,7,1,3,0,0,6,2,0,3,8,3,0,6,0,0,2,2,6,4,3,3,7,1,6,0,5,4,1,0,1,2,1,0,3,3,1,2,3,0,0,0,27,2,2,3,2,0,20,3,1,0,2,4,4,2,1,5,2,0,3,0,2,2,1,2,1,2,1,2,5,6,1,0,1,19,0,3,0,1,5,2,4,1,2,1,1,0,10
cell_51,6,0,3,1,1,1,8,3,10,1,1,1,0,10,0,0,0,1,15,1,3,3,1,2,0,2,6,0,1,2,2,2,1,1,3,0,1,1,1,1,0,0,0,2,2,0,2,1,4,9,0,2,0,3,1,12,0,0,1,0,1,3,0,0,2,3,0,1,3,0,0,1,1,0,2,1,1,1,3,0,2,2,17,0,0,1,1,1,0,1,1,0,2,1,0,1
