,Etv5,Ddit4,Nefl,Nanog,Ifitm1,Sox2,Sall4,Tcf7,Slc7a3,Otx2,Cldn4,Pim1,Pou5f1,Col18a1,Sgce,Tdgf1,Dnmt3b,Sparc,Tfb1m,Id3,Stat3,Nodal,Esrrb,Pim2,1190005I06Rik,Tdh,1700019D03Rik,Schip1,Galk1,Mycn,Fxyd6,Gbx2,Tspan17,Spry4,Ifitm3,Slc7a7,Upp1,Cds1,Nptx2,Sdc4,Fgfbp1,Klf6,Slc2a3,Nr5a2
cell_1692,0.0,0.0,1.9832295,0.0,0.0,0.0,1.9832295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9832295,0.0,1.9832295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9832295,1.9832295,0.0
cell_1693,2.2887144,0.0,0.0,0.0,2.2887144,2.2887144,0.0,0.0,2.929833,2.2887144,0.0,0.0,0.0,0.0,0.0,2.2887144,2.2887144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2887144,0.0,0.0,0.0,0.0,2.2887144,0.0,0.0,2.2887144,0.0
cell_1694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4847255,1.5402898,2.7513502,1.5402898,2.1200895,2.1200895,2.1200895,3.5261686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5402898,0.0,0.0,0.0,2.1200895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5402898,2.7513502,0.0
cell_1695,1.2395108,1.2395108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7762815,2.12367,1.2395108,0.0,1.7762815,2.12367,1.2395108,0.0,0.0,0.0,0.0,1.2395108,0.0,1.2395108,0.0,0.0,0.0,0.0,1.2395108,0.0,0.0,1.2395108,0.0,0.0,1.2395108,0.0,0.0,1.2395108,0.0,1.2395108,2.5854769,0.0
cell_1696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.717206,0.0,0.0,0.0,0.0,3.3238187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_1697,0.0,0.0,0.0,0.0,0.0,1.4085472,0.0,0.0,1.4085472,0.0,0.0,2.3292298,2.592268,2.8003283,0.0,1.4085472,1.9713019,2.8003283,1.4085472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4085472,0.0,0.0,1.4085472,0.0,0.0,0.0,1.4085472,0.0,1.9713019,0.0,0.0,1.4085472,1.9713019,0.0,0.0,0.0,0.0
cell_1698,0.0,0.0,0.0,2.3051789,0.0,0.0,2.6768317,0.0,0.0,0.0,0.0,1.7071062,0.0,2.3051789,0.0,0.0,2.3051789,2.3051789,0.0,1.7071062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7071062,0.0,0.0,0.0,0.0,1.7071062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_1699,1.5598916,0.0,1.5598916,0.0,0.0,1.5598916,0.0,0.0,0.0,0.0,0.0,0.0,2.1420186,1.5598916,0.0,0.0,1.5598916,1.5598916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1420186,0.0,0.0,0.0,0.0,0.0,0.0,1.5598916,0.0,0.0,0.0,0.0,2.1420186,0.0,0.0
cell_1700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17709,2.43602,1.8267618,0.0,0.0,1.2828394,1.2828394,0.0,0.0,1.2828394,1.2828394,0.0,1.2828394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9574106,0.0,1.2828394,0.0,0.0,0.0,0.0,0.0,0.0,1.2828394,1.2828394,2.17709,0.0
cell_1701,1.3823916,0.0,0.0,0.0,1.3823916,0.0,1.9414486,0.0,0.0,0.0,0.0,0.0,2.5601437,0.0,0.0,1.3823916,2.2979,2.2979,0.0,0.0,0.0,1.3823916,0.0,2.2979,0.0,0.0,0.0,0.0,0.0,0.0,1.3823916,0.0,0.0,0.0,0.0,0.0,1.9414486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_1702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.282361,0.0,0.0,0.0,2.65322,3.1354716,0.0,0.0
cell_1703,1.6474187,0.0,1.1303623,0.0,0.0,1.6474187,1.1303623,0.0,0.0,1.1303623,0.0,0.0,1.6474187,0.0,0.0,2.4409454,2.2393377,2.2393377,0.0,2.6086473,0.0,0.0,0.0,0.0,0.0,0.0,1.1303623,0.0,0.0,1.6474187,0.0,0.0,0.0,1.6474187,0.0,1.1303623,0.0,0.0,0.0,1.1303623,0.0,1.6474187,0.0,0.0
cell_1704,1.4998922,0.0,1.4998922,0.0,0.0,0.0,1.4998922,0.0,0.0,0.0,0.0,0.0,2.7030258,2.074732,0.0,0.0,2.4374323,2.4374323,0.0,0.0,0.0,2.074732,0.0,1.4998922,0.0,0.0,0.0,0.0,0.0,1.4998922,0.0,0.0,0.0,0.0,0.0,2.074732,0.0,0.0,0.0,0.0,2.4374323,1.4998922,0.0,0.0
cell_1705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3638682,1.7606127,0.0,0.0,1.7606127,1.7606127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2220707,0.0
cell_1706,0.0,0.0,1.4301145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1464877,0.0,0.0,0.0,0.0,0.0,1.9958365,1.4301145,0.0,1.9958365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4301145,0.0,0.0,0.0,1.9958365,0.0,2.618615,2.618615,0.0
cell_1707,0.0,1.2969865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2969865,2.453848,0.0,2.453848,1.2969865,0.0,0.0,1.2969865,2.453848,0.0,2.6596494,1.2969865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2969865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2969865,0.0,1.2969865,1.8431671,0.0
cell_1708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.132916,0.0,0.0,3.132916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8695217,0.0,0.0,0.0,1.8695217,0.0,0.0,0.0,0.0
